f	pi	p0
0.02564	4270.0	5136.0
0.05128	1466.0	2602.0
0.07692	801.0	1662.0
0.10256	558.0	1195.0
0.12821	480.0	1096.0
0.15385	330.0	733.0
0.17949	281.0	743.0
0.20513	204.0	601.0
0.23077	186.0	545.0
0.25641	134.0	415.0
0.28205	112.0	408.0
0.30769	175.0	384.0
0.33333	111.0	365.0
0.35897	92.0	341.0
0.38462	126.0	248.0
0.41026	85.0	281.0
0.4359	90.0	280.0
0.46154	58.0	269.0
0.48718	57.0	215.0
0.51282	62.0	208.0
0.53846	51.0	216.0
0.5641	39.0	179.0
0.58974	55.0	214.0
0.61538	46.0	200.0
0.64103	62.0	159.0
0.66667	37.0	176.0
0.69231	40.0	155.0
0.71795	38.0	126.0
0.74359	54.0	168.0
0.76923	41.0	160.0
0.79487	35.0	149.0
0.82051	55.0	156.0
0.84615	46.0	132.0
0.87179	43.0	132.0
0.89744	34.0	122.0
0.92308	41.0	117.0
0.94872	60.0	107.0
0.97436	27.0	130.0
1.0	43.0	110.0
