f	pi	p0
0.02564	4307.0	5102.0
0.05128	1449.0	2410.0
0.07692	879.0	1655.0
0.10256	556.0	1139.0
0.12821	476.0	1099.0
0.15385	355.0	747.0
0.17949	272.0	646.0
0.20513	209.0	646.0
0.23077	170.0	488.0
0.25641	137.0	458.0
0.28205	107.0	401.0
0.30769	173.0	351.0
0.33333	102.0	365.0
0.35897	102.0	292.0
0.38462	111.0	250.0
0.41026	99.0	270.0
0.4359	95.0	223.0
0.46154	72.0	266.0
0.48718	62.0	218.0
0.51282	86.0	212.0
0.53846	60.0	216.0
0.5641	63.0	188.0
0.58974	52.0	230.0
0.61538	60.0	183.0
0.64103	52.0	163.0
0.66667	49.0	187.0
0.69231	35.0	142.0
0.71795	35.0	137.0
0.74359	48.0	184.0
0.76923	39.0	150.0
0.79487	42.0	135.0
0.82051	44.0	161.0
0.84615	30.0	109.0
0.87179	33.0	121.0
0.89744	53.0	122.0
0.92308	55.0	137.0
0.94872	51.0	121.0
0.97436	21.0	101.0
1.0	31.0	85.0
