f	pi	p0
0.02564	4321.0	5137.0
0.05128	1460.0	2588.0
0.07692	889.0	1684.0
0.10256	544.0	1124.0
0.12821	470.0	1011.0
0.15385	343.0	823.0
0.17949	291.0	660.0
0.20513	216.0	636.0
0.23077	185.0	531.0
0.25641	152.0	447.0
0.28205	141.0	420.0
0.30769	169.0	356.0
0.33333	117.0	380.0
0.35897	91.0	246.0
0.38462	90.0	245.0
0.41026	72.0	285.0
0.4359	86.0	265.0
0.46154	70.0	306.0
0.48718	61.0	239.0
0.51282	83.0	223.0
0.53846	64.0	228.0
0.5641	53.0	196.0
0.58974	43.0	229.0
0.61538	51.0	204.0
0.64103	50.0	169.0
0.66667	44.0	179.0
0.69231	37.0	155.0
0.71795	34.0	178.0
0.74359	61.0	176.0
0.76923	43.0	150.0
0.79487	26.0	166.0
0.82051	36.0	171.0
0.84615	32.0	110.0
0.87179	40.0	148.0
0.89744	32.0	124.0
0.92308	44.0	155.0
0.94872	46.0	123.0
0.97436	25.0	128.0
1.0	29.0	88.0
