f	pi	p0
0.02564	4197.0	4960.0
0.05128	1495.0	2631.0
0.07692	876.0	1684.0
0.10256	531.0	1203.0
0.12821	466.0	1071.0
0.15385	339.0	750.0
0.17949	293.0	740.0
0.20513	215.0	568.0
0.23077	197.0	512.0
0.25641	131.0	469.0
0.28205	122.0	396.0
0.30769	145.0	377.0
0.33333	118.0	360.0
0.35897	77.0	295.0
0.38462	116.0	277.0
0.41026	90.0	259.0
0.4359	100.0	253.0
0.46154	68.0	253.0
0.48718	52.0	217.0
0.51282	82.0	207.0
0.53846	72.0	210.0
0.5641	61.0	173.0
0.58974	64.0	212.0
0.61538	52.0	222.0
0.64103	48.0	157.0
0.66667	47.0	171.0
0.69231	46.0	143.0
0.71795	33.0	139.0
0.74359	55.0	175.0
0.76923	38.0	141.0
0.79487	45.0	148.0
0.82051	38.0	140.0
0.84615	25.0	104.0
0.87179	31.0	111.0
0.89744	40.0	136.0
0.92308	46.0	144.0
0.94872	60.0	124.0
0.97436	36.0	108.0
1.0	38.0	95.0
