f	pi	p0
0.02564	4236.0	5287.0
0.05128	1502.0	2493.0
0.07692	849.0	1683.0
0.10256	515.0	1187.0
0.12821	443.0	1064.0
0.15385	315.0	795.0
0.17949	320.0	714.0
0.20513	197.0	597.0
0.23077	207.0	517.0
0.25641	158.0	480.0
0.28205	154.0	425.0
0.30769	171.0	360.0
0.33333	129.0	398.0
0.35897	83.0	321.0
0.38462	105.0	264.0
0.41026	89.0	286.0
0.4359	84.0	228.0
0.46154	73.0	261.0
0.48718	59.0	218.0
0.51282	69.0	183.0
0.53846	61.0	197.0
0.5641	43.0	170.0
0.58974	47.0	211.0
0.61538	48.0	202.0
0.64103	52.0	177.0
0.66667	59.0	192.0
0.69231	23.0	164.0
0.71795	32.0	134.0
0.74359	50.0	159.0
0.76923	35.0	160.0
0.79487	35.0	128.0
0.82051	33.0	132.0
0.84615	43.0	132.0
0.87179	40.0	109.0
0.89744	52.0	129.0
0.92308	43.0	133.0
0.94872	41.0	112.0
0.97436	32.0	115.0
1.0	45.0	93.0
