f	pi	p0
0.02564	4359.0	5118.0
0.05128	1539.0	2448.0
0.07692	863.0	1682.0
0.10256	564.0	1247.0
0.12821	413.0	1075.0
0.15385	353.0	732.0
0.17949	268.0	709.0
0.20513	238.0	637.0
0.23077	203.0	509.0
0.25641	169.0	445.0
0.28205	145.0	417.0
0.30769	169.0	402.0
0.33333	117.0	396.0
0.35897	78.0	263.0
0.38462	104.0	249.0
0.41026	85.0	276.0
0.4359	80.0	250.0
0.46154	60.0	244.0
0.48718	83.0	222.0
0.51282	74.0	217.0
0.53846	68.0	218.0
0.5641	51.0	194.0
0.58974	62.0	199.0
0.61538	43.0	234.0
0.64103	61.0	152.0
0.66667	59.0	190.0
0.69231	50.0	153.0
0.71795	33.0	163.0
0.74359	67.0	160.0
0.76923	32.0	146.0
0.79487	53.0	139.0
0.82051	55.0	155.0
0.84615	36.0	109.0
0.87179	29.0	122.0
0.89744	32.0	107.0
0.92308	48.0	126.0
0.94872	57.0	122.0
0.97436	29.0	104.0
1.0	26.0	96.0
