f	pi	p0	pw
0.02564	1273.0	923.0	28.0
0.05128	444.0	533.0	23.0
0.07692	275.0	308.0	21.0
0.10256	174.0	242.0	6.0
0.12821	162.0	187.0	7.0
0.15385	104.0	183.0	4.0
0.17949	107.0	128.0	2.0
0.20513	61.0	139.0	3.0
0.23077	46.0	121.0	9.0
0.25641	43.0	75.0	6.0
0.28205	49.0	76.0	6.0
0.30769	45.0	85.0	4.0
0.33333	57.0	80.0	3.0
0.35897	36.0	72.0	3.0
0.38462	42.0	59.0	0.0
0.41026	14.0	43.0	0.0
0.4359	25.0	49.0	3.0
0.46154	38.0	51.0	2.0
0.48718	23.0	31.0	1.0
0.51282	20.0	27.0	3.0
0.53846	32.0	43.0	4.0
0.5641	27.0	59.0	3.0
0.58974	25.0	48.0	7.0
0.61538	5.0	36.0	0.0
0.64103	24.0	28.0	5.0
0.66667	6.0	31.0	2.0
0.69231	23.0	38.0	3.0
0.71795	12.0	44.0	5.0
0.74359	16.0	29.0	4.0
0.76923	11.0	28.0	0.0
0.79487	22.0	24.0	4.0
0.82051	6.0	19.0	2.0
0.84615	12.0	32.0	1.0
0.87179	10.0	31.0	0.0
0.89744	7.0	13.0	0.0
0.92308	2.0	22.0	0.0
0.94872	18.0	27.0	4.0
0.97436	23.0	28.0	3.0
1.0	8.0	25.0	0.0
