f	pi	p0	pw
0.02564	1254.0	936.0	29.0
0.05128	456.0	538.0	5.0
0.07692	268.0	292.0	10.0
0.10256	170.0	225.0	6.0
0.12821	138.0	190.0	7.0
0.15385	118.0	177.0	4.0
0.17949	96.0	114.0	7.0
0.20513	61.0	168.0	5.0
0.23077	57.0	95.0	9.0
0.25641	46.0	76.0	3.0
0.28205	76.0	79.0	11.0
0.30769	54.0	76.0	4.0
0.33333	58.0	76.0	7.0
0.35897	31.0	69.0	4.0
0.38462	31.0	51.0	0.0
0.41026	14.0	45.0	1.0
0.4359	29.0	40.0	4.0
0.46154	28.0	67.0	2.0
0.48718	22.0	29.0	4.0
0.51282	19.0	36.0	1.0
0.53846	14.0	50.0	1.0
0.5641	16.0	52.0	4.0
0.58974	19.0	44.0	1.0
0.61538	13.0	49.0	0.0
0.64103	19.0	43.0	5.0
0.66667	6.0	28.0	2.0
0.69231	17.0	33.0	0.0
0.71795	13.0	39.0	7.0
0.74359	18.0	16.0	2.0
0.76923	10.0	27.0	0.0
0.79487	11.0	25.0	0.0
0.82051	5.0	22.0	1.0
0.84615	10.0	36.0	1.0
0.87179	9.0	35.0	2.0
0.89744	9.0	24.0	0.0
0.92308	4.0	18.0	0.0
0.94872	20.0	16.0	2.0
0.97436	14.0	25.0	3.0
1.0	12.0	23.0	0.0
