f	pi	p0	pw
0.02564	1307.0	985.0	27.0
0.05128	404.0	536.0	12.0
0.07692	284.0	307.0	12.0
0.10256	185.0	240.0	4.0
0.12821	124.0	175.0	2.0
0.15385	100.0	161.0	2.0
0.17949	91.0	107.0	3.0
0.20513	68.0	154.0	7.0
0.23077	54.0	98.0	8.0
0.25641	34.0	85.0	1.0
0.28205	55.0	82.0	4.0
0.30769	49.0	84.0	3.0
0.33333	43.0	87.0	4.0
0.35897	29.0	71.0	3.0
0.38462	42.0	80.0	0.0
0.41026	22.0	48.0	0.0
0.4359	22.0	32.0	3.0
0.46154	21.0	48.0	3.0
0.48718	30.0	28.0	1.0
0.51282	14.0	23.0	3.0
0.53846	26.0	42.0	3.0
0.5641	27.0	50.0	7.0
0.58974	15.0	47.0	4.0
0.61538	8.0	31.0	0.0
0.64103	30.0	34.0	4.0
0.66667	9.0	22.0	3.0
0.69231	21.0	34.0	2.0
0.71795	11.0	31.0	7.0
0.74359	12.0	16.0	4.0
0.76923	16.0	26.0	0.0
0.79487	19.0	23.0	1.0
0.82051	14.0	13.0	4.0
0.84615	10.0	33.0	2.0
0.87179	16.0	37.0	7.0
0.89744	5.0	25.0	0.0
0.92308	3.0	13.0	0.0
0.94872	8.0	12.0	2.0
0.97436	15.0	26.0	1.0
1.0	8.0	21.0	0.0
