f	pi	p0	pw
0.02564	1247.0	980.0	25.0
0.05128	436.0	543.0	21.0
0.07692	282.0	300.0	13.0
0.10256	171.0	262.0	4.0
0.12821	119.0	167.0	3.0
0.15385	103.0	151.0	1.0
0.17949	85.0	127.0	2.0
0.20513	83.0	162.0	5.0
0.23077	62.0	117.0	6.0
0.25641	39.0	86.0	2.0
0.28205	63.0	78.0	3.0
0.30769	64.0	92.0	6.0
0.33333	51.0	94.0	1.0
0.35897	37.0	69.0	6.0
0.38462	31.0	80.0	0.0
0.41026	32.0	57.0	2.0
0.4359	33.0	46.0	3.0
0.46154	27.0	43.0	3.0
0.48718	26.0	27.0	1.0
0.51282	22.0	37.0	1.0
0.53846	16.0	56.0	3.0
0.5641	12.0	48.0	4.0
0.58974	23.0	49.0	2.0
0.61538	10.0	43.0	0.0
0.64103	20.0	21.0	3.0
0.66667	6.0	27.0	3.0
0.69231	22.0	38.0	0.0
0.71795	9.0	33.0	2.0
0.74359	18.0	25.0	1.0
0.76923	14.0	32.0	0.0
0.79487	22.0	25.0	2.0
0.82051	10.0	23.0	1.0
0.84615	8.0	24.0	0.0
0.87179	6.0	33.0	0.0
0.89744	9.0	30.0	0.0
0.92308	7.0	16.0	0.0
0.94872	6.0	26.0	1.0
0.97436	6.0	16.0	0.0
1.0	11.0	28.0	0.0
