f	pi	p0	pw
0.02564	1279.0	1035.0	23.0
0.05128	445.0	470.0	12.0
0.07692	295.0	315.0	17.0
0.10256	178.0	237.0	1.0
0.12821	146.0	176.0	7.0
0.15385	109.0	144.0	7.0
0.17949	108.0	107.0	3.0
0.20513	73.0	148.0	3.0
0.23077	44.0	119.0	4.0
0.25641	40.0	88.0	3.0
0.28205	42.0	73.0	4.0
0.30769	68.0	61.0	4.0
0.33333	60.0	70.0	7.0
0.35897	43.0	70.0	7.0
0.38462	28.0	56.0	0.0
0.41026	21.0	39.0	1.0
0.4359	24.0	45.0	0.0
0.46154	29.0	45.0	2.0
0.48718	22.0	26.0	2.0
0.51282	14.0	32.0	7.0
0.53846	20.0	41.0	1.0
0.5641	18.0	54.0	3.0
0.58974	20.0	52.0	6.0
0.61538	17.0	33.0	0.0
0.64103	19.0	20.0	0.0
0.66667	7.0	29.0	3.0
0.69231	23.0	39.0	0.0
0.71795	9.0	28.0	4.0
0.74359	14.0	10.0	3.0
0.76923	18.0	34.0	0.0
0.79487	21.0	29.0	1.0
0.82051	9.0	26.0	3.0
0.84615	11.0	32.0	1.0
0.87179	12.0	40.0	3.0
0.89744	9.0	24.0	0.0
0.92308	4.0	17.0	0.0
0.94872	14.0	25.0	0.0
0.97436	17.0	20.0	4.0
1.0	8.0	17.0	0.0
