f	pi	p0	pw
0.02564	1238.0	1002.0	26.0
0.05128	454.0	529.0	15.0
0.07692	286.0	307.0	11.0
0.10256	169.0	221.0	3.0
0.12821	138.0	201.0	6.0
0.15385	117.0	171.0	3.0
0.17949	87.0	132.0	4.0
0.20513	70.0	146.0	3.0
0.23077	49.0	127.0	6.0
0.25641	36.0	67.0	4.0
0.28205	47.0	74.0	1.0
0.30769	51.0	79.0	3.0
0.33333	37.0	74.0	1.0
0.35897	31.0	71.0	4.0
0.38462	32.0	65.0	0.0
0.41026	25.0	51.0	0.0
0.4359	27.0	39.0	3.0
0.46154	28.0	47.0	1.0
0.48718	29.0	37.0	3.0
0.51282	16.0	33.0	2.0
0.53846	22.0	58.0	1.0
0.5641	16.0	41.0	2.0
0.58974	24.0	50.0	6.0
0.61538	6.0	52.0	0.0
0.64103	17.0	35.0	1.0
0.66667	14.0	29.0	5.0
0.69231	16.0	41.0	1.0
0.71795	10.0	45.0	8.0
0.74359	19.0	13.0	3.0
0.76923	12.0	30.0	0.0
0.79487	26.0	32.0	2.0
0.82051	13.0	21.0	3.0
0.84615	8.0	32.0	2.0
0.87179	18.0	46.0	3.0
0.89744	12.0	21.0	0.0
0.92308	5.0	19.0	0.0
0.94872	12.0	14.0	2.0
0.97436	13.0	32.0	2.0
1.0	8.0	17.0	0.0
