f	pi	p0	pw
0.02564	1270.0	925.0	19.0
0.05128	443.0	536.0	11.0
0.07692	302.0	277.0	14.0
0.10256	186.0	241.0	1.0
0.12821	124.0	199.0	2.0
0.15385	96.0	165.0	2.0
0.17949	91.0	127.0	5.0
0.20513	75.0	148.0	1.0
0.23077	62.0	103.0	5.0
0.25641	23.0	81.0	2.0
0.28205	49.0	79.0	5.0
0.30769	64.0	82.0	6.0
0.33333	50.0	86.0	3.0
0.35897	38.0	65.0	5.0
0.38462	37.0	63.0	0.0
0.41026	30.0	47.0	0.0
0.4359	19.0	48.0	0.0
0.46154	22.0	41.0	2.0
0.48718	22.0	38.0	1.0
0.51282	22.0	36.0	0.0
0.53846	24.0	45.0	4.0
0.5641	23.0	47.0	3.0
0.58974	13.0	31.0	2.0
0.61538	20.0	46.0	0.0
0.64103	16.0	30.0	1.0
0.66667	11.0	29.0	3.0
0.69231	20.0	35.0	0.0
0.71795	8.0	52.0	3.0
0.74359	18.0	16.0	2.0
0.76923	15.0	35.0	0.0
0.79487	16.0	27.0	2.0
0.82051	11.0	28.0	1.0
0.84615	7.0	35.0	1.0
0.87179	4.0	44.0	0.0
0.89744	6.0	24.0	0.0
0.92308	4.0	28.0	0.0
0.94872	13.0	19.0	4.0
0.97436	13.0	27.0	1.0
1.0	8.0	24.0	0.0
