f	pi	p0	pw
0.02564	1244.0	1003.0	31.0
0.05128	427.0	531.0	12.0
0.07692	279.0	292.0	8.0
0.10256	181.0	254.0	4.0
0.12821	140.0	169.0	6.0
0.15385	100.0	182.0	3.0
0.17949	106.0	130.0	1.0
0.20513	62.0	148.0	4.0
0.23077	44.0	106.0	3.0
0.25641	40.0	80.0	0.0
0.28205	64.0	68.0	8.0
0.30769	53.0	65.0	3.0
0.33333	50.0	57.0	5.0
0.35897	34.0	63.0	3.0
0.38462	28.0	76.0	0.0
0.41026	17.0	46.0	0.0
0.4359	20.0	48.0	1.0
0.46154	40.0	53.0	1.0
0.48718	22.0	31.0	0.0
0.51282	24.0	40.0	3.0
0.53846	19.0	56.0	2.0
0.5641	20.0	49.0	7.0
0.58974	24.0	34.0	6.0
0.61538	9.0	55.0	0.0
0.64103	20.0	34.0	2.0
0.66667	6.0	37.0	3.0
0.69231	14.0	35.0	1.0
0.71795	6.0	38.0	3.0
0.74359	9.0	18.0	1.0
0.76923	12.0	35.0	0.0
0.79487	23.0	33.0	3.0
0.82051	6.0	29.0	2.0
0.84615	12.0	42.0	2.0
0.87179	11.0	49.0	1.0
0.89744	11.0	29.0	0.0
0.92308	2.0	11.0	0.0
0.94872	18.0	15.0	3.0
0.97436	12.0	23.0	3.0
1.0	13.0	24.0	0.0
