f	pi	p0	pw
0.02564	1232.0	960.0	21.0
0.05128	427.0	518.0	12.0
0.07692	266.0	257.0	9.0
0.10256	207.0	254.0	6.0
0.12821	149.0	163.0	0.0
0.15385	114.0	178.0	4.0
0.17949	101.0	137.0	6.0
0.20513	79.0	144.0	6.0
0.23077	55.0	108.0	5.0
0.25641	39.0	77.0	2.0
0.28205	48.0	77.0	4.0
0.30769	47.0	77.0	3.0
0.33333	49.0	67.0	5.0
0.35897	41.0	73.0	8.0
0.38462	31.0	88.0	0.0
0.41026	16.0	39.0	0.0
0.4359	13.0	44.0	0.0
0.46154	41.0	46.0	1.0
0.48718	24.0	28.0	0.0
0.51282	25.0	41.0	2.0
0.53846	23.0	46.0	2.0
0.5641	23.0	49.0	4.0
0.58974	30.0	53.0	8.0
0.61538	10.0	45.0	0.0
0.64103	24.0	30.0	3.0
0.66667	4.0	30.0	2.0
0.69231	15.0	27.0	2.0
0.71795	11.0	35.0	8.0
0.74359	16.0	23.0	2.0
0.76923	14.0	30.0	0.0
0.79487	25.0	34.0	2.0
0.82051	8.0	35.0	3.0
0.84615	14.0	27.0	3.0
0.87179	7.0	34.0	1.0
0.89744	7.0	24.0	0.0
0.92308	3.0	16.0	0.0
0.94872	16.0	15.0	0.0
0.97436	17.0	30.0	2.0
1.0	9.0	19.0	0.0
