f	pi	p0	pw
0.02564	1208.0	916.0	21.0
0.05128	480.0	531.0	21.0
0.07692	288.0	262.0	17.0
0.10256	180.0	239.0	3.0
0.12821	131.0	163.0	5.0
0.15385	106.0	176.0	3.0
0.17949	112.0	142.0	1.0
0.20513	93.0	156.0	2.0
0.23077	43.0	112.0	5.0
0.25641	41.0	72.0	4.0
0.28205	57.0	74.0	9.0
0.30769	45.0	68.0	1.0
0.33333	47.0	75.0	3.0
0.35897	37.0	88.0	1.0
0.38462	41.0	75.0	0.0
0.41026	28.0	43.0	2.0
0.4359	11.0	47.0	0.0
0.46154	26.0	49.0	2.0
0.48718	23.0	36.0	1.0
0.51282	18.0	37.0	1.0
0.53846	30.0	60.0	6.0
0.5641	23.0	66.0	4.0
0.58974	23.0	36.0	4.0
0.61538	13.0	45.0	0.0
0.64103	18.0	44.0	1.0
0.66667	9.0	29.0	2.0
0.69231	12.0	39.0	0.0
0.71795	5.0	39.0	4.0
0.74359	25.0	27.0	2.0
0.76923	12.0	40.0	0.0
0.79487	17.0	35.0	2.0
0.82051	9.0	35.0	3.0
0.84615	14.0	32.0	2.0
0.87179	13.0	29.0	3.0
0.89744	10.0	28.0	0.0
0.92308	7.0	14.0	0.0
0.94872	17.0	32.0	1.0
0.97436	16.0	37.0	3.0
1.0	6.0	26.0	0.0
