f	pi	p0	pw
0.02564	1313.0	974.0	31.0
0.05128	453.0	479.0	14.0
0.07692	308.0	311.0	11.0
0.10256	198.0	280.0	4.0
0.12821	136.0	185.0	6.0
0.15385	107.0	167.0	2.0
0.17949	84.0	141.0	2.0
0.20513	83.0	158.0	3.0
0.23077	48.0	107.0	10.0
0.25641	29.0	83.0	1.0
0.28205	47.0	77.0	3.0
0.30769	70.0	84.0	2.0
0.33333	38.0	77.0	3.0
0.35897	32.0	72.0	5.0
0.38462	29.0	71.0	0.0
0.41026	22.0	47.0	2.0
0.4359	25.0	44.0	0.0
0.46154	29.0	59.0	0.0
0.48718	32.0	34.0	0.0
0.51282	18.0	41.0	2.0
0.53846	21.0	54.0	1.0
0.5641	22.0	53.0	3.0
0.58974	22.0	40.0	6.0
0.61538	10.0	50.0	0.0
0.64103	30.0	30.0	3.0
0.66667	10.0	30.0	5.0
0.69231	21.0	41.0	2.0
0.71795	2.0	40.0	0.0
0.74359	15.0	13.0	2.0
0.76923	13.0	17.0	0.0
0.79487	21.0	29.0	5.0
0.82051	9.0	28.0	3.0
0.84615	15.0	37.0	0.0
0.87179	10.0	47.0	3.0
0.89744	9.0	31.0	0.0
0.92308	6.0	29.0	0.0
0.94872	24.0	20.0	4.0
0.97436	21.0	18.0	3.0
1.0	7.0	25.0	0.0
