f	pi	p0	pw
0.02564	1260.0	1018.0	31.0
0.05128	455.0	500.0	16.0
0.07692	271.0	294.0	13.0
0.10256	188.0	282.0	3.0
0.12821	143.0	183.0	6.0
0.15385	117.0	151.0	3.0
0.17949	89.0	109.0	3.0
0.20513	52.0	152.0	2.0
0.23077	50.0	117.0	4.0
0.25641	41.0	83.0	0.0
0.28205	58.0	93.0	4.0
0.30769	64.0	71.0	3.0
0.33333	46.0	56.0	3.0
0.35897	22.0	69.0	3.0
0.38462	36.0	80.0	0.0
0.41026	27.0	45.0	0.0
0.4359	25.0	38.0	2.0
0.46154	43.0	47.0	3.0
0.48718	24.0	33.0	4.0
0.51282	18.0	34.0	2.0
0.53846	14.0	42.0	1.0
0.5641	29.0	50.0	6.0
0.58974	22.0	45.0	6.0
0.61538	9.0	39.0	0.0
0.64103	17.0	31.0	4.0
0.66667	5.0	31.0	0.0
0.69231	18.0	38.0	1.0
0.71795	10.0	31.0	8.0
0.74359	20.0	18.0	6.0
0.76923	10.0	39.0	0.0
0.79487	21.0	26.0	2.0
0.82051	13.0	35.0	3.0
0.84615	7.0	33.0	1.0
0.87179	6.0	45.0	0.0
0.89744	7.0	31.0	0.0
0.92308	3.0	18.0	0.0
0.94872	20.0	23.0	1.0
0.97436	16.0	28.0	1.0
1.0	15.0	18.0	0.0
