f	pi	p0	pw
0.02564	1302.0	1000.0	23.0
0.05128	419.0	532.0	25.0
0.07692	275.0	312.0	16.0
0.10256	208.0	242.0	4.0
0.12821	132.0	194.0	3.0
0.15385	104.0	177.0	0.0
0.17949	79.0	103.0	3.0
0.20513	75.0	158.0	7.0
0.23077	43.0	86.0	4.0
0.25641	49.0	75.0	4.0
0.28205	59.0	94.0	6.0
0.30769	67.0	63.0	3.0
0.33333	51.0	78.0	3.0
0.35897	31.0	57.0	6.0
0.38462	39.0	89.0	0.0
0.41026	26.0	57.0	1.0
0.4359	29.0	43.0	1.0
0.46154	42.0	48.0	4.0
0.48718	30.0	31.0	1.0
0.51282	15.0	29.0	0.0
0.53846	22.0	33.0	4.0
0.5641	23.0	52.0	7.0
0.58974	20.0	35.0	6.0
0.61538	12.0	48.0	0.0
0.64103	32.0	33.0	6.0
0.66667	12.0	33.0	7.0
0.69231	17.0	24.0	0.0
0.71795	7.0	32.0	3.0
0.74359	18.0	23.0	4.0
0.76923	14.0	33.0	0.0
0.79487	25.0	30.0	2.0
0.82051	10.0	34.0	2.0
0.84615	9.0	28.0	1.0
0.87179	11.0	36.0	4.0
0.89744	15.0	29.0	0.0
0.92308	3.0	15.0	0.0
0.94872	17.0	21.0	4.0
0.97436	23.0	37.0	1.0
1.0	10.0	15.0	0.0
