f	pi	p0	pw
0.02564	1328.0	987.0	22.0
0.05128	430.0	492.0	13.0
0.07692	304.0	294.0	13.0
0.10256	191.0	219.0	6.0
0.12821	138.0	194.0	3.0
0.15385	105.0	159.0	8.0
0.17949	98.0	112.0	6.0
0.20513	92.0	158.0	5.0
0.23077	63.0	101.0	6.0
0.25641	37.0	92.0	3.0
0.28205	50.0	61.0	4.0
0.30769	52.0	57.0	5.0
0.33333	56.0	73.0	5.0
0.35897	31.0	56.0	3.0
0.38462	32.0	76.0	0.0
0.41026	26.0	49.0	2.0
0.4359	27.0	47.0	0.0
0.46154	33.0	55.0	2.0
0.48718	30.0	42.0	3.0
0.51282	14.0	41.0	2.0
0.53846	30.0	54.0	4.0
0.5641	27.0	52.0	3.0
0.58974	18.0	41.0	1.0
0.61538	8.0	40.0	0.0
0.64103	20.0	41.0	3.0
0.66667	5.0	30.0	1.0
0.69231	23.0	39.0	1.0
0.71795	11.0	51.0	5.0
0.74359	17.0	19.0	4.0
0.76923	18.0	27.0	0.0
0.79487	15.0	28.0	2.0
0.82051	11.0	31.0	5.0
0.84615	6.0	25.0	0.0
0.87179	12.0	35.0	2.0
0.89744	9.0	22.0	0.0
0.92308	6.0	19.0	0.0
0.94872	23.0	19.0	4.0
0.97436	10.0	26.0	4.0
1.0	11.0	19.0	0.0
