f	pi	p0	pw
0.02564	1301.0	941.0	28.0
0.05128	413.0	482.0	11.0
0.07692	288.0	315.0	14.0
0.10256	168.0	226.0	1.0
0.12821	147.0	164.0	4.0
0.15385	98.0	179.0	1.0
0.17949	95.0	125.0	3.0
0.20513	70.0	163.0	5.0
0.23077	44.0	104.0	5.0
0.25641	46.0	78.0	1.0
0.28205	62.0	76.0	5.0
0.30769	57.0	81.0	3.0
0.33333	49.0	65.0	5.0
0.35897	29.0	75.0	3.0
0.38462	30.0	65.0	0.0
0.41026	21.0	44.0	1.0
0.4359	25.0	43.0	2.0
0.46154	31.0	55.0	4.0
0.48718	23.0	40.0	1.0
0.51282	14.0	34.0	6.0
0.53846	16.0	72.0	0.0
0.5641	19.0	45.0	4.0
0.58974	21.0	36.0	5.0
0.61538	9.0	38.0	0.0
0.64103	17.0	32.0	1.0
0.66667	10.0	31.0	6.0
0.69231	25.0	36.0	1.0
0.71795	14.0	27.0	7.0
0.74359	14.0	21.0	3.0
0.76923	5.0	25.0	0.0
0.79487	21.0	32.0	2.0
0.82051	11.0	13.0	6.0
0.84615	13.0	37.0	0.0
0.87179	10.0	51.0	1.0
0.89744	11.0	29.0	0.0
0.92308	4.0	15.0	0.0
0.94872	13.0	38.0	2.0
0.97436	15.0	24.0	2.0
1.0	14.0	19.0	0.0
