f	pi	p0	pw
0.02564	1247.0	940.0	14.0
0.05128	432.0	572.0	11.0
0.07692	284.0	260.0	10.0
0.10256	166.0	249.0	0.0
0.12821	118.0	177.0	3.0
0.15385	114.0	148.0	5.0
0.17949	105.0	127.0	5.0
0.20513	74.0	143.0	3.0
0.23077	76.0	112.0	7.0
0.25641	36.0	94.0	2.0
0.28205	48.0	67.0	6.0
0.30769	49.0	58.0	2.0
0.33333	42.0	67.0	3.0
0.35897	19.0	60.0	1.0
0.38462	32.0	73.0	0.0
0.41026	28.0	46.0	0.0
0.4359	16.0	43.0	0.0
0.46154	33.0	47.0	2.0
0.48718	21.0	29.0	0.0
0.51282	17.0	35.0	2.0
0.53846	12.0	46.0	0.0
0.5641	20.0	51.0	3.0
0.58974	27.0	48.0	6.0
0.61538	7.0	33.0	0.0
0.64103	14.0	35.0	2.0
0.66667	7.0	22.0	1.0
0.69231	16.0	40.0	1.0
0.71795	12.0	29.0	4.0
0.74359	15.0	23.0	1.0
0.76923	13.0	24.0	0.0
0.79487	19.0	31.0	3.0
0.82051	8.0	24.0	6.0
0.84615	12.0	28.0	3.0
0.87179	7.0	35.0	1.0
0.89744	11.0	30.0	0.0
0.92308	7.0	25.0	0.0
0.94872	24.0	24.0	5.0
0.97436	19.0	26.0	5.0
1.0	9.0	20.0	0.0
