f	pi	p0	pw
0.02564	1153.0	994.0	25.0
0.05128	410.0	544.0	17.0
0.07692	283.0	270.0	12.0
0.10256	167.0	254.0	2.0
0.12821	154.0	173.0	10.0
0.15385	107.0	172.0	4.0
0.17949	97.0	140.0	2.0
0.20513	74.0	147.0	3.0
0.23077	52.0	117.0	3.0
0.25641	36.0	76.0	1.0
0.28205	53.0	74.0	4.0
0.30769	57.0	82.0	3.0
0.33333	52.0	77.0	6.0
0.35897	33.0	64.0	9.0
0.38462	31.0	68.0	0.0
0.41026	29.0	50.0	1.0
0.4359	18.0	44.0	2.0
0.46154	30.0	46.0	3.0
0.48718	26.0	49.0	1.0
0.51282	18.0	32.0	1.0
0.53846	22.0	46.0	0.0
0.5641	19.0	43.0	3.0
0.58974	22.0	29.0	3.0
0.61538	14.0	36.0	0.0
0.64103	22.0	38.0	1.0
0.66667	10.0	36.0	2.0
0.69231	21.0	38.0	3.0
0.71795	8.0	34.0	4.0
0.74359	14.0	23.0	3.0
0.76923	11.0	26.0	0.0
0.79487	12.0	34.0	1.0
0.82051	13.0	31.0	1.0
0.84615	9.0	49.0	2.0
0.87179	9.0	29.0	2.0
0.89744	11.0	24.0	0.0
0.92308	6.0	26.0	0.0
0.94872	7.0	24.0	2.0
0.97436	15.0	24.0	2.0
1.0	10.0	27.0	0.0
