f	pi	p0	pw
0.02564	1250.0	952.0	27.0
0.05128	382.0	484.0	15.0
0.07692	259.0	330.0	12.0
0.10256	210.0	232.0	7.0
0.12821	125.0	149.0	4.0
0.15385	110.0	157.0	2.0
0.17949	102.0	119.0	3.0
0.20513	88.0	177.0	3.0
0.23077	67.0	129.0	8.0
0.25641	34.0	77.0	4.0
0.28205	59.0	86.0	7.0
0.30769	54.0	74.0	3.0
0.33333	68.0	85.0	5.0
0.35897	28.0	65.0	3.0
0.38462	36.0	71.0	0.0
0.41026	27.0	55.0	2.0
0.4359	12.0	33.0	0.0
0.46154	29.0	44.0	1.0
0.48718	20.0	28.0	3.0
0.51282	15.0	34.0	1.0
0.53846	18.0	49.0	2.0
0.5641	24.0	49.0	6.0
0.58974	16.0	44.0	2.0
0.61538	16.0	58.0	0.0
0.64103	16.0	40.0	1.0
0.66667	13.0	31.0	5.0
0.69231	17.0	40.0	1.0
0.71795	9.0	30.0	5.0
0.74359	15.0	19.0	2.0
0.76923	14.0	28.0	0.0
0.79487	26.0	38.0	3.0
0.82051	17.0	37.0	4.0
0.84615	11.0	35.0	3.0
0.87179	8.0	27.0	3.0
0.89744	3.0	16.0	0.0
0.92308	8.0	24.0	0.0
0.94872	13.0	26.0	0.0
0.97436	24.0	23.0	4.0
1.0	11.0	27.0	0.0
