f	pi	p0	pw
0.02564	1181.0	966.0	16.0
0.05128	456.0	514.0	17.0
0.07692	250.0	304.0	10.0
0.10256	210.0	259.0	4.0
0.12821	135.0	174.0	5.0
0.15385	102.0	184.0	7.0
0.17949	87.0	116.0	3.0
0.20513	83.0	129.0	4.0
0.23077	36.0	124.0	5.0
0.25641	46.0	83.0	5.0
0.28205	59.0	95.0	6.0
0.30769	65.0	64.0	2.0
0.33333	51.0	81.0	8.0
0.35897	30.0	56.0	1.0
0.38462	20.0	66.0	0.0
0.41026	19.0	45.0	1.0
0.4359	10.0	40.0	1.0
0.46154	30.0	51.0	1.0
0.48718	28.0	51.0	2.0
0.51282	12.0	25.0	1.0
0.53846	17.0	49.0	1.0
0.5641	30.0	45.0	7.0
0.58974	19.0	39.0	2.0
0.61538	9.0	38.0	0.0
0.64103	23.0	30.0	3.0
0.66667	12.0	26.0	3.0
0.69231	20.0	46.0	1.0
0.71795	8.0	36.0	2.0
0.74359	14.0	21.0	0.0
0.76923	11.0	30.0	0.0
0.79487	14.0	24.0	0.0
0.82051	9.0	23.0	5.0
0.84615	5.0	30.0	0.0
0.87179	13.0	41.0	2.0
0.89744	10.0	35.0	0.0
0.92308	6.0	21.0	0.0
0.94872	18.0	28.0	1.0
0.97436	18.0	36.0	4.0
1.0	9.0	10.0	0.0
