f	pi	p0	pw
0.02564	1237.0	996.0	26.0
0.05128	414.0	511.0	15.0
0.07692	291.0	311.0	18.0
0.10256	170.0	236.0	3.0
0.12821	140.0	167.0	5.0
0.15385	97.0	173.0	1.0
0.17949	84.0	127.0	1.0
0.20513	70.0	141.0	5.0
0.23077	60.0	108.0	2.0
0.25641	48.0	86.0	3.0
0.28205	38.0	84.0	2.0
0.30769	60.0	60.0	1.0
0.33333	53.0	75.0	2.0
0.35897	32.0	74.0	4.0
0.38462	46.0	74.0	0.0
0.41026	27.0	40.0	3.0
0.4359	18.0	57.0	2.0
0.46154	27.0	39.0	1.0
0.48718	30.0	38.0	0.0
0.51282	14.0	25.0	0.0
0.53846	24.0	45.0	3.0
0.5641	17.0	40.0	3.0
0.58974	25.0	48.0	6.0
0.61538	21.0	41.0	0.0
0.64103	21.0	29.0	3.0
0.66667	8.0	29.0	2.0
0.69231	12.0	29.0	1.0
0.71795	5.0	33.0	4.0
0.74359	23.0	28.0	5.0
0.76923	15.0	40.0	0.0
0.79487	27.0	38.0	8.0
0.82051	11.0	36.0	3.0
0.84615	7.0	37.0	2.0
0.87179	5.0	31.0	3.0
0.89744	5.0	30.0	0.0
0.92308	9.0	16.0	0.0
0.94872	24.0	25.0	5.0
0.97436	15.0	29.0	0.0
1.0	13.0	26.0	0.0
