f	pi	p0	pw
0.02564	1276.0	967.0	26.0
0.05128	434.0	520.0	18.0
0.07692	271.0	281.0	15.0
0.10256	173.0	240.0	1.0
0.12821	146.0	179.0	7.0
0.15385	102.0	177.0	2.0
0.17949	81.0	144.0	2.0
0.20513	73.0	152.0	1.0
0.23077	57.0	100.0	3.0
0.25641	43.0	88.0	3.0
0.28205	45.0	80.0	2.0
0.30769	45.0	80.0	3.0
0.33333	49.0	83.0	3.0
0.35897	32.0	72.0	5.0
0.38462	29.0	75.0	0.0
0.41026	31.0	42.0	1.0
0.4359	16.0	39.0	0.0
0.46154	23.0	57.0	3.0
0.48718	31.0	39.0	3.0
0.51282	14.0	40.0	2.0
0.53846	24.0	59.0	2.0
0.5641	35.0	63.0	5.0
0.58974	30.0	41.0	9.0
0.61538	8.0	42.0	0.0
0.64103	23.0	36.0	0.0
0.66667	3.0	39.0	3.0
0.69231	20.0	44.0	1.0
0.71795	6.0	51.0	2.0
0.74359	10.0	27.0	2.0
0.76923	12.0	22.0	0.0
0.79487	27.0	27.0	2.0
0.82051	9.0	15.0	2.0
0.84615	11.0	34.0	1.0
0.87179	7.0	47.0	0.0
0.89744	6.0	25.0	0.0
0.92308	7.0	19.0	0.0
0.94872	22.0	16.0	4.0
0.97436	21.0	32.0	4.0
1.0	11.0	22.0	0.0
