f	pi	p0	pw
0.02564	1212.0	1009.0	20.0
0.05128	404.0	528.0	14.0
0.07692	283.0	297.0	12.0
0.10256	189.0	254.0	3.0
0.12821	141.0	185.0	4.0
0.15385	114.0	132.0	6.0
0.17949	101.0	131.0	3.0
0.20513	72.0	159.0	6.0
0.23077	60.0	108.0	8.0
0.25641	47.0	89.0	1.0
0.28205	57.0	90.0	4.0
0.30769	68.0	78.0	2.0
0.33333	32.0	67.0	3.0
0.35897	43.0	67.0	3.0
0.38462	31.0	67.0	0.0
0.41026	38.0	61.0	4.0
0.4359	30.0	58.0	1.0
0.46154	30.0	56.0	1.0
0.48718	24.0	28.0	3.0
0.51282	19.0	42.0	1.0
0.53846	24.0	50.0	3.0
0.5641	26.0	51.0	2.0
0.58974	27.0	39.0	3.0
0.61538	14.0	38.0	0.0
0.64103	15.0	31.0	1.0
0.66667	16.0	29.0	6.0
0.69231	14.0	31.0	1.0
0.71795	14.0	43.0	5.0
0.74359	15.0	23.0	3.0
0.76923	19.0	42.0	0.0
0.79487	17.0	26.0	5.0
0.82051	11.0	25.0	5.0
0.84615	6.0	35.0	0.0
0.87179	15.0	24.0	5.0
0.89744	7.0	33.0	0.0
0.92308	6.0	19.0	0.0
0.94872	13.0	15.0	3.0
0.97436	15.0	15.0	4.0
1.0	9.0	20.0	0.0
