f	pi	p0	pw
0.02564	1222.0	1014.0	15.0
0.05128	430.0	472.0	13.0
0.07692	261.0	326.0	15.0
0.10256	188.0	229.0	6.0
0.12821	125.0	142.0	4.0
0.15385	114.0	203.0	3.0
0.17949	97.0	125.0	10.0
0.20513	71.0	134.0	2.0
0.23077	52.0	128.0	8.0
0.25641	47.0	83.0	1.0
0.28205	56.0	77.0	6.0
0.30769	58.0	76.0	3.0
0.33333	50.0	82.0	6.0
0.35897	29.0	70.0	5.0
0.38462	21.0	58.0	0.0
0.41026	23.0	43.0	1.0
0.4359	17.0	58.0	0.0
0.46154	27.0	54.0	3.0
0.48718	34.0	42.0	3.0
0.51282	21.0	31.0	4.0
0.53846	17.0	56.0	1.0
0.5641	26.0	61.0	4.0
0.58974	11.0	48.0	3.0
0.61538	12.0	53.0	0.0
0.64103	15.0	34.0	1.0
0.66667	13.0	28.0	4.0
0.69231	13.0	33.0	1.0
0.71795	10.0	42.0	3.0
0.74359	17.0	25.0	4.0
0.76923	4.0	30.0	0.0
0.79487	26.0	30.0	5.0
0.82051	16.0	23.0	5.0
0.84615	7.0	34.0	1.0
0.87179	12.0	47.0	3.0
0.89744	9.0	22.0	0.0
0.92308	4.0	23.0	0.0
0.94872	12.0	13.0	2.0
0.97436	8.0	28.0	1.0
1.0	9.0	21.0	0.0
