f	pi	p0	pw
0.02564	1236.0	926.0	28.0
0.05128	467.0	514.0	14.0
0.07692	287.0	296.0	19.0
0.10256	182.0	240.0	2.0
0.12821	136.0	169.0	6.0
0.15385	125.0	163.0	6.0
0.17949	97.0	134.0	2.0
0.20513	71.0	145.0	8.0
0.23077	56.0	93.0	7.0
0.25641	36.0	73.0	1.0
0.28205	51.0	90.0	4.0
0.30769	49.0	76.0	2.0
0.33333	49.0	80.0	1.0
0.35897	38.0	63.0	6.0
0.38462	30.0	95.0	0.0
0.41026	23.0	36.0	0.0
0.4359	28.0	43.0	1.0
0.46154	29.0	64.0	2.0
0.48718	30.0	32.0	3.0
0.51282	18.0	38.0	1.0
0.53846	24.0	46.0	2.0
0.5641	28.0	49.0	5.0
0.58974	29.0	38.0	3.0
0.61538	12.0	42.0	0.0
0.64103	28.0	42.0	2.0
0.66667	7.0	30.0	3.0
0.69231	15.0	31.0	3.0
0.71795	8.0	40.0	3.0
0.74359	11.0	24.0	1.0
0.76923	7.0	25.0	0.0
0.79487	17.0	31.0	3.0
0.82051	13.0	30.0	2.0
0.84615	13.0	38.0	0.0
0.87179	9.0	43.0	1.0
0.89744	7.0	22.0	0.0
0.92308	10.0	23.0	0.0
0.94872	18.0	16.0	2.0
0.97436	18.0	39.0	2.0
1.0	8.0	19.0	0.0
