f	pi	p0	pw
0.02564	1176.0	917.0	21.0
0.05128	414.0	520.0	9.0
0.07692	287.0	320.0	9.0
0.10256	173.0	237.0	5.0
0.12821	128.0	175.0	1.0
0.15385	114.0	186.0	2.0
0.17949	84.0	113.0	2.0
0.20513	74.0	137.0	4.0
0.23077	42.0	105.0	6.0
0.25641	49.0	87.0	2.0
0.28205	59.0	106.0	3.0
0.30769	55.0	72.0	2.0
0.33333	44.0	63.0	3.0
0.35897	31.0	58.0	5.0
0.38462	32.0	65.0	0.0
0.41026	26.0	43.0	0.0
0.4359	26.0	41.0	4.0
0.46154	28.0	59.0	0.0
0.48718	22.0	37.0	0.0
0.51282	25.0	24.0	3.0
0.53846	22.0	43.0	4.0
0.5641	30.0	53.0	4.0
0.58974	12.0	59.0	3.0
0.61538	17.0	38.0	0.0
0.64103	19.0	26.0	2.0
0.66667	12.0	31.0	5.0
0.69231	16.0	44.0	3.0
0.71795	12.0	43.0	8.0
0.74359	14.0	19.0	2.0
0.76923	13.0	27.0	0.0
0.79487	19.0	21.0	5.0
0.82051	10.0	36.0	3.0
0.84615	9.0	31.0	0.0
0.87179	17.0	43.0	1.0
0.89744	10.0	25.0	0.0
0.92308	6.0	26.0	0.0
0.94872	16.0	18.0	4.0
0.97436	10.0	30.0	0.0
1.0	3.0	18.0	0.0
