f	pi	p0	pw
0.02564	1282.0	982.0	23.0
0.05128	427.0	488.0	9.0
0.07692	279.0	334.0	7.0
0.10256	179.0	239.0	4.0
0.12821	127.0	158.0	4.0
0.15385	117.0	184.0	2.0
0.17949	94.0	137.0	3.0
0.20513	51.0	154.0	1.0
0.23077	62.0	112.0	6.0
0.25641	31.0	72.0	0.0
0.28205	68.0	81.0	7.0
0.30769	54.0	74.0	5.0
0.33333	46.0	74.0	6.0
0.35897	29.0	100.0	2.0
0.38462	22.0	84.0	0.0
0.41026	29.0	50.0	1.0
0.4359	21.0	40.0	0.0
0.46154	32.0	55.0	1.0
0.48718	32.0	22.0	2.0
0.51282	21.0	35.0	4.0
0.53846	16.0	33.0	4.0
0.5641	13.0	61.0	2.0
0.58974	21.0	39.0	5.0
0.61538	11.0	35.0	0.0
0.64103	14.0	31.0	0.0
0.66667	14.0	34.0	4.0
0.69231	19.0	48.0	0.0
0.71795	11.0	39.0	6.0
0.74359	16.0	22.0	4.0
0.76923	13.0	22.0	0.0
0.79487	20.0	38.0	2.0
0.82051	10.0	20.0	4.0
0.84615	10.0	33.0	0.0
0.87179	5.0	30.0	3.0
0.89744	10.0	25.0	0.0
0.92308	9.0	17.0	0.0
0.94872	25.0	23.0	6.0
0.97436	15.0	30.0	3.0
1.0	9.0	27.0	0.0
