f	pi	p0	pw
0.02564	1298.0	1020.0	20.0
0.05128	472.0	534.0	21.0
0.07692	285.0	318.0	8.0
0.10256	172.0	197.0	6.0
0.12821	144.0	192.0	2.0
0.15385	112.0	158.0	5.0
0.17949	96.0	116.0	3.0
0.20513	75.0	141.0	2.0
0.23077	56.0	118.0	3.0
0.25641	39.0	77.0	1.0
0.28205	56.0	83.0	3.0
0.30769	62.0	61.0	2.0
0.33333	42.0	72.0	2.0
0.35897	31.0	63.0	7.0
0.38462	27.0	81.0	0.0
0.41026	21.0	38.0	0.0
0.4359	15.0	42.0	0.0
0.46154	28.0	44.0	2.0
0.48718	32.0	42.0	2.0
0.51282	21.0	31.0	0.0
0.53846	27.0	60.0	1.0
0.5641	22.0	35.0	4.0
0.58974	15.0	52.0	9.0
0.61538	8.0	51.0	0.0
0.64103	27.0	25.0	5.0
0.66667	13.0	25.0	4.0
0.69231	20.0	32.0	1.0
0.71795	5.0	40.0	1.0
0.74359	17.0	21.0	4.0
0.76923	9.0	28.0	0.0
0.79487	12.0	35.0	1.0
0.82051	12.0	24.0	2.0
0.84615	5.0	32.0	1.0
0.87179	7.0	44.0	1.0
0.89744	13.0	25.0	0.0
0.92308	6.0	17.0	0.0
0.94872	16.0	17.0	4.0
0.97436	15.0	33.0	2.0
1.0	11.0	20.0	0.0
