f	pi	p0	pw
0.02564	1314.0	995.0	25.0
0.05128	425.0	563.0	13.0
0.07692	303.0	288.0	20.0
0.10256	170.0	253.0	1.0
0.12821	126.0	176.0	3.0
0.15385	109.0	188.0	2.0
0.17949	97.0	128.0	5.0
0.20513	77.0	161.0	5.0
0.23077	54.0	103.0	2.0
0.25641	38.0	85.0	2.0
0.28205	48.0	67.0	2.0
0.30769	53.0	72.0	3.0
0.33333	41.0	79.0	3.0
0.35897	31.0	76.0	4.0
0.38462	41.0	67.0	0.0
0.41026	29.0	61.0	3.0
0.4359	21.0	49.0	1.0
0.46154	33.0	50.0	0.0
0.48718	20.0	32.0	1.0
0.51282	17.0	41.0	2.0
0.53846	27.0	41.0	2.0
0.5641	26.0	53.0	7.0
0.58974	21.0	45.0	2.0
0.61538	10.0	44.0	0.0
0.64103	22.0	25.0	5.0
0.66667	8.0	24.0	2.0
0.69231	14.0	50.0	1.0
0.71795	8.0	43.0	3.0
0.74359	12.0	16.0	4.0
0.76923	16.0	16.0	0.0
0.79487	20.0	29.0	6.0
0.82051	9.0	29.0	3.0
0.84615	6.0	40.0	3.0
0.87179	14.0	45.0	5.0
0.89744	8.0	26.0	0.0
0.92308	4.0	23.0	0.0
0.94872	14.0	14.0	2.0
0.97436	22.0	24.0	2.0
1.0	11.0	15.0	0.0
