f	pi	p0	pw
0.02564	1274.0	950.0	29.0
0.05128	413.0	501.0	18.0
0.07692	268.0	284.0	10.0
0.10256	183.0	242.0	2.0
0.12821	126.0	184.0	3.0
0.15385	115.0	145.0	4.0
0.17949	89.0	131.0	2.0
0.20513	78.0	135.0	1.0
0.23077	67.0	110.0	8.0
0.25641	51.0	82.0	0.0
0.28205	53.0	69.0	3.0
0.30769	60.0	71.0	6.0
0.33333	54.0	92.0	4.0
0.35897	26.0	57.0	2.0
0.38462	23.0	81.0	0.0
0.41026	30.0	50.0	2.0
0.4359	21.0	47.0	1.0
0.46154	32.0	45.0	3.0
0.48718	32.0	35.0	2.0
0.51282	17.0	33.0	2.0
0.53846	15.0	55.0	2.0
0.5641	16.0	50.0	1.0
0.58974	33.0	33.0	5.0
0.61538	9.0	27.0	0.0
0.64103	19.0	34.0	0.0
0.66667	9.0	32.0	2.0
0.69231	18.0	44.0	1.0
0.71795	13.0	40.0	5.0
0.74359	16.0	22.0	2.0
0.76923	14.0	25.0	0.0
0.79487	25.0	31.0	0.0
0.82051	11.0	24.0	3.0
0.84615	3.0	31.0	0.0
0.87179	13.0	32.0	3.0
0.89744	5.0	31.0	0.0
0.92308	3.0	16.0	0.0
0.94872	30.0	34.0	1.0
0.97436	14.0	28.0	1.0
1.0	13.0	24.0	0.0
