f	pi	p0	pw
0.02564	1229.0	904.0	21.0
0.05128	427.0	529.0	14.0
0.07692	276.0	287.0	16.0
0.10256	173.0	247.0	4.0
0.12821	143.0	164.0	5.0
0.15385	111.0	171.0	5.0
0.17949	99.0	127.0	3.0
0.20513	72.0	155.0	5.0
0.23077	56.0	128.0	6.0
0.25641	35.0	75.0	2.0
0.28205	53.0	63.0	3.0
0.30769	52.0	69.0	2.0
0.33333	56.0	76.0	1.0
0.35897	30.0	55.0	3.0
0.38462	33.0	76.0	0.0
0.41026	22.0	45.0	1.0
0.4359	22.0	38.0	1.0
0.46154	32.0	51.0	0.0
0.48718	21.0	22.0	1.0
0.51282	18.0	41.0	2.0
0.53846	15.0	49.0	1.0
0.5641	26.0	55.0	4.0
0.58974	23.0	41.0	5.0
0.61538	7.0	34.0	0.0
0.64103	28.0	32.0	3.0
0.66667	9.0	35.0	2.0
0.69231	21.0	35.0	2.0
0.71795	7.0	36.0	3.0
0.74359	15.0	21.0	2.0
0.76923	8.0	33.0	0.0
0.79487	16.0	34.0	2.0
0.82051	8.0	24.0	2.0
0.84615	11.0	36.0	0.0
0.87179	7.0	38.0	0.0
0.89744	8.0	21.0	0.0
0.92308	6.0	22.0	0.0
0.94872	17.0	12.0	7.0
0.97436	19.0	28.0	3.0
1.0	3.0	23.0	0.0
