f	pi	p0
0.02564	358.0	508.0
0.05128	149.0	290.0
0.07692	85.0	141.0
0.10256	68.0	119.0
0.12821	61.0	103.0
0.15385	29.0	93.0
0.17949	35.0	95.0
0.20513	14.0	61.0
0.23077	25.0	63.0
0.25641	17.0	53.0
0.28205	5.0	72.0
0.30769	19.0	49.0
0.33333	15.0	40.0
0.35897	25.0	48.0
0.38462	10.0	31.0
0.41026	6.0	37.0
0.4359	8.0	25.0
0.46154	4.0	27.0
0.48718	6.0	25.0
0.51282	8.0	24.0
0.53846	10.0	20.0
0.5641	5.0	25.0
0.58974	4.0	24.0
0.61538	1.0	17.0
0.64103	8.0	10.0
0.66667	5.0	21.0
0.69231	8.0	10.0
0.71795	5.0	17.0
0.74359	2.0	16.0
0.76923	3.0	15.0
0.79487	9.0	26.0
0.82051	3.0	9.0
0.84615	5.0	18.0
0.87179	0.0	19.0
0.89744	5.0	8.0
0.92308	12.0	20.0
0.94872	6.0	13.0
0.97436	3.0	5.0
1.0	10.0	13.0
