f	pi	p0
0.02564	428.0	516.0
0.05128	148.0	262.0
0.07692	91.0	171.0
0.10256	69.0	126.0
0.12821	62.0	112.0
0.15385	30.0	81.0
0.17949	30.0	84.0
0.20513	22.0	55.0
0.23077	27.0	60.0
0.25641	11.0	54.0
0.28205	14.0	68.0
0.30769	14.0	54.0
0.33333	13.0	47.0
0.35897	13.0	43.0
0.38462	8.0	39.0
0.41026	9.0	36.0
0.4359	9.0	29.0
0.46154	7.0	24.0
0.48718	9.0	27.0
0.51282	6.0	26.0
0.53846	7.0	27.0
0.5641	8.0	23.0
0.58974	3.0	23.0
0.61538	2.0	16.0
0.64103	4.0	10.0
0.66667	9.0	21.0
0.69231	6.0	15.0
0.71795	5.0	18.0
0.74359	3.0	23.0
0.76923	5.0	11.0
0.79487	6.0	25.0
0.82051	3.0	12.0
0.84615	4.0	21.0
0.87179	1.0	17.0
0.89744	5.0	12.0
0.92308	8.0	17.0
0.94872	3.0	13.0
0.97436	3.0	6.0
1.0	7.0	12.0
