f	pi	p0
0.02564	455.0	497.0
0.05128	144.0	286.0
0.07692	101.0	145.0
0.10256	70.0	147.0
0.12821	70.0	129.0
0.15385	26.0	73.0
0.17949	21.0	92.0
0.20513	16.0	49.0
0.23077	29.0	57.0
0.25641	14.0	57.0
0.28205	12.0	81.0
0.30769	10.0	63.0
0.33333	7.0	50.0
0.35897	12.0	51.0
0.38462	8.0	31.0
0.41026	8.0	34.0
0.4359	6.0	25.0
0.46154	6.0	22.0
0.48718	13.0	21.0
0.51282	4.0	36.0
0.53846	4.0	24.0
0.5641	13.0	20.0
0.58974	2.0	24.0
0.61538	0.0	11.0
0.64103	3.0	5.0
0.66667	11.0	21.0
0.69231	9.0	18.0
0.71795	3.0	24.0
0.74359	3.0	15.0
0.76923	3.0	9.0
0.79487	7.0	28.0
0.82051	7.0	9.0
0.84615	1.0	18.0
0.87179	2.0	18.0
0.89744	6.0	10.0
0.92308	6.0	20.0
0.94872	1.0	7.0
0.97436	1.0	8.0
1.0	19.0	5.0
