f	pi	p0
0.02564	427.0	522.0
0.05128	141.0	251.0
0.07692	83.0	173.0
0.10256	63.0	135.0
0.12821	58.0	108.0
0.15385	32.0	75.0
0.17949	28.0	86.0
0.20513	27.0	48.0
0.23077	30.0	58.0
0.25641	10.0	69.0
0.28205	17.0	61.0
0.30769	10.0	57.0
0.33333	17.0	40.0
0.35897	12.0	44.0
0.38462	8.0	43.0
0.41026	8.0	41.0
0.4359	5.0	29.0
0.46154	8.0	24.0
0.48718	7.0	28.0
0.51282	5.0	34.0
0.53846	11.0	26.0
0.5641	10.0	21.0
0.58974	6.0	28.0
0.61538	1.0	15.0
0.64103	4.0	9.0
0.66667	7.0	27.0
0.69231	2.0	11.0
0.71795	2.0	21.0
0.74359	2.0	39.0
0.76923	2.0	9.0
0.79487	4.0	43.0
0.82051	2.0	12.0
0.84615	6.0	23.0
0.87179	0.0	22.0
0.89744	7.0	14.0
0.92308	10.0	23.0
0.94872	2.0	9.0
0.97436	1.0	7.0
1.0	7.0	11.0
