f	pi	p0
0.02564	443.0	532.0
0.05128	146.0	250.0
0.07692	84.0	179.0
0.10256	74.0	114.0
0.12821	71.0	103.0
0.15385	27.0	85.0
0.17949	33.0	85.0
0.20513	16.0	45.0
0.23077	24.0	64.0
0.25641	8.0	53.0
0.28205	11.0	77.0
0.30769	15.0	53.0
0.33333	17.0	50.0
0.35897	16.0	38.0
0.38462	8.0	45.0
0.41026	5.0	34.0
0.4359	8.0	22.0
0.46154	5.0	24.0
0.48718	7.0	19.0
0.51282	7.0	23.0
0.53846	8.0	30.0
0.5641	6.0	20.0
0.58974	3.0	21.0
0.61538	2.0	9.0
0.64103	3.0	12.0
0.66667	8.0	19.0
0.69231	4.0	12.0
0.71795	3.0	17.0
0.74359	5.0	34.0
0.76923	5.0	16.0
0.79487	8.0	31.0
0.82051	6.0	4.0
0.84615	8.0	18.0
0.87179	2.0	16.0
0.89744	5.0	8.0
0.92308	4.0	18.0
0.94872	3.0	4.0
0.97436	3.0	3.0
1.0	7.0	17.0
