f	pi	p0
0.02564	395.0	511.0
0.05128	163.0	255.0
0.07692	100.0	159.0
0.10256	74.0	125.0
0.12821	71.0	99.0
0.15385	22.0	93.0
0.17949	27.0	114.0
0.20513	27.0	59.0
0.23077	32.0	68.0
0.25641	7.0	44.0
0.28205	22.0	67.0
0.30769	9.0	45.0
0.33333	15.0	41.0
0.35897	10.0	52.0
0.38462	12.0	36.0
0.41026	9.0	40.0
0.4359	10.0	32.0
0.46154	3.0	20.0
0.48718	11.0	23.0
0.51282	2.0	32.0
0.53846	4.0	26.0
0.5641	8.0	22.0
0.58974	2.0	21.0
0.61538	1.0	11.0
0.64103	5.0	13.0
0.66667	10.0	23.0
0.69231	6.0	16.0
0.71795	9.0	13.0
0.74359	4.0	25.0
0.76923	7.0	12.0
0.79487	5.0	24.0
0.82051	9.0	12.0
0.84615	6.0	20.0
0.87179	3.0	19.0
0.89744	5.0	15.0
0.92308	13.0	17.0
0.94872	5.0	12.0
0.97436	5.0	4.0
1.0	7.0	10.0
