f	pi	p0
0.02564	4365.0	5060.0
0.05128	1575.0	2626.0
0.07692	890.0	1665.0
0.10256	586.0	1279.0
0.12821	446.0	1040.0
0.15385	395.0	783.0
0.17949	293.0	721.0
0.20513	252.0	657.0
0.23077	210.0	511.0
0.25641	164.0	490.0
0.28205	159.0	425.0
0.30769	169.0	433.0
0.33333	156.0	357.0
0.35897	113.0	372.0
0.38462	92.0	338.0
0.41026	92.0	308.0
0.4359	80.0	270.0
0.46154	76.0	276.0
0.48718	76.0	269.0
0.51282	88.0	268.0
0.53846	73.0	247.0
0.5641	83.0	247.0
0.58974	51.0	197.0
0.61538	46.0	238.0
0.64103	43.0	191.0
0.66667	40.0	182.0
0.69231	55.0	188.0
0.71795	56.0	191.0
0.74359	42.0	179.0
0.76923	48.0	183.0
0.79487	29.0	160.0
0.82051	47.0	182.0
0.84615	41.0	105.0
0.87179	30.0	123.0
0.89744	50.0	158.0
0.92308	43.0	158.0
0.94872	44.0	118.0
0.97436	29.0	138.0
1.0	22.0	123.0
