f	pi	p0
0.02564	4345.0	5128.0
0.05128	1537.0	2565.0
0.07692	821.0	1699.0
0.10256	549.0	1271.0
0.12821	418.0	1030.0
0.15385	375.0	788.0
0.17949	305.0	744.0
0.20513	275.0	670.0
0.23077	216.0	556.0
0.25641	165.0	508.0
0.28205	150.0	482.0
0.30769	137.0	401.0
0.33333	149.0	354.0
0.35897	110.0	329.0
0.38462	115.0	306.0
0.41026	99.0	272.0
0.4359	69.0	283.0
0.46154	85.0	255.0
0.48718	74.0	260.0
0.51282	72.0	237.0
0.53846	59.0	225.0
0.5641	72.0	249.0
0.58974	76.0	180.0
0.61538	37.0	249.0
0.64103	45.0	198.0
0.66667	42.0	202.0
0.69231	55.0	208.0
0.71795	49.0	173.0
0.74359	40.0	159.0
0.76923	39.0	161.0
0.79487	34.0	192.0
0.82051	51.0	172.0
0.84615	49.0	127.0
0.87179	28.0	138.0
0.89744	49.0	177.0
0.92308	40.0	137.0
0.94872	31.0	94.0
0.97436	32.0	126.0
1.0	18.0	129.0
