f	pi	p0
0.02564	4317.0	5143.0
0.05128	1528.0	2522.0
0.07692	865.0	1659.0
0.10256	562.0	1269.0
0.12821	447.0	1020.0
0.15385	393.0	814.0
0.17949	292.0	753.0
0.20513	265.0	647.0
0.23077	226.0	555.0
0.25641	172.0	498.0
0.28205	160.0	434.0
0.30769	164.0	432.0
0.33333	140.0	353.0
0.35897	126.0	369.0
0.38462	101.0	323.0
0.41026	106.0	314.0
0.4359	78.0	285.0
0.46154	79.0	253.0
0.48718	78.0	246.0
0.51282	74.0	243.0
0.53846	66.0	226.0
0.5641	77.0	219.0
0.58974	59.0	205.0
0.61538	46.0	236.0
0.64103	49.0	209.0
0.66667	43.0	194.0
0.69231	61.0	199.0
0.71795	52.0	187.0
0.74359	46.0	182.0
0.76923	37.0	169.0
0.79487	38.0	172.0
0.82051	46.0	168.0
0.84615	41.0	132.0
0.87179	24.0	135.0
0.89744	48.0	158.0
0.92308	43.0	130.0
0.94872	39.0	120.0
0.97436	31.0	125.0
1.0	27.0	120.0
