f	pi	p0
0.02564	4324.0	5194.0
0.05128	1557.0	2544.0
0.07692	870.0	1689.0
0.10256	548.0	1286.0
0.12821	410.0	1030.0
0.15385	406.0	815.0
0.17949	279.0	744.0
0.20513	293.0	671.0
0.23077	225.0	561.0
0.25641	174.0	472.0
0.28205	172.0	460.0
0.30769	173.0	451.0
0.33333	152.0	363.0
0.35897	125.0	365.0
0.38462	115.0	308.0
0.41026	99.0	296.0
0.4359	83.0	290.0
0.46154	77.0	231.0
0.48718	71.0	258.0
0.51282	81.0	202.0
0.53846	73.0	220.0
0.5641	82.0	217.0
0.58974	63.0	201.0
0.61538	44.0	211.0
0.64103	49.0	208.0
0.66667	34.0	200.0
0.69231	59.0	195.0
0.71795	56.0	176.0
0.74359	39.0	171.0
0.76923	42.0	182.0
0.79487	46.0	172.0
0.82051	38.0	186.0
0.84615	35.0	125.0
0.87179	21.0	134.0
0.89744	37.0	150.0
0.92308	43.0	129.0
0.94872	28.0	116.0
0.97436	30.0	134.0
1.0	35.0	116.0
