f	pi	p0
0.02564	4433.0	5330.0
0.05128	1478.0	2506.0
0.07692	886.0	1673.0
0.10256	559.0	1274.0
0.12821	424.0	1043.0
0.15385	390.0	822.0
0.17949	317.0	809.0
0.20513	268.0	659.0
0.23077	196.0	555.0
0.25641	197.0	486.0
0.28205	154.0	434.0
0.30769	159.0	390.0
0.33333	129.0	378.0
0.35897	135.0	358.0
0.38462	103.0	357.0
0.41026	101.0	320.0
0.4359	83.0	284.0
0.46154	66.0	258.0
0.48718	72.0	259.0
0.51282	61.0	226.0
0.53846	87.0	207.0
0.5641	80.0	228.0
0.58974	54.0	213.0
0.61538	46.0	241.0
0.64103	47.0	239.0
0.66667	44.0	193.0
0.69231	73.0	215.0
0.71795	44.0	178.0
0.74359	49.0	173.0
0.76923	45.0	199.0
0.79487	33.0	189.0
0.82051	42.0	146.0
0.84615	52.0	129.0
0.87179	25.0	126.0
0.89744	42.0	162.0
0.92308	47.0	118.0
0.94872	53.0	125.0
0.97436	24.0	122.0
1.0	28.0	122.0
