bins	meanSd	all
1	0.856 (±0)	5/3500
2	0.629 (±0.247)	10/3500
5	0.493 (±0.394)	116/3500
10	0.52 (±0.286)	677/3500
25	0.53 (±0.193)	2535/3500
50	0.553 (±0.124)	3233/3500
75	0.568 (±0.095)	3398/3500
100	0.574 (±0.081)	3449/3500
250	0.586 (±0.051)	3500/3500
500	0.591 (±0.035)	3500/3500
750	0.593 (±0.028)	3500/3500
1000	0.594 (±0.024)	3500/3500
