""	alphaStandard	alphaDGRP	alphaFWW1	alphaFWW2	alphaAsymptotic1	alphaAsymptotic2	trueAlpha	scenario
mean	-0.280500665128547	-0.0993924481305357	0.131442820486749	0.183315088174658	0.258804	0.306402	0.327748	baseline
sd	0.0365645643451067	0.0284356489272218	0.0235758512203514	0.021435151941432	0.0179163357223034	0.0261615740180525	0.0101835781991781	baseline
error	0.608248665128547	0.427140448130536	0.196305179513251	0.144432911825342	0.068944	0.0274866	0	baseline
mean1	-0.16717101621393	-0.131218388283478	0.143518839605157	0.162280484552761	0.14114375	0.0790555555555556	0.17144532	r0
sd1	0.0370930034122081	0.0347938136074261	0.0235334720892867	0.0228420870108875	0.0194175832770863	0.0874630652205706	0.00412504695058005	r0
error1	0.33861633621393	0.302663708283478	0.0320975568771011	0.0203644305647864	0.031437625	0.103187333333333	0	r0
mean2	-0.270525239554034	-0.0873686676705507	0.136657566621113	0.186364489777063	0.263471428571429	0.303442857142857	0.3295865	r1e-5
sd2	0.031113458533506	0.0238109925949148	0.0191417935096452	0.0191958671632854	0.0186244020480753	0.0304474506773105	0.00968615432738123	r1e-5
error2	0.600111739554034	0.416955167670551	0.192928933378887	0.143222010222937	0.0661150714285714	0.0332210714285714	0	r1e-5
mean3	-0.164246871849479	-0.125140931720903	0.14986508478193	0.167114997867534	0.154826470588235	0.0958875	0.20186808	r1e-10
sd3	0.0342023240031275	0.0322616154782547	0.0239716435849064	0.0255841741203821	0.0208329766101367	0.0620353219276459	0.00602376106608027	r1e-10
error3	0.366114951849479	0.327009011720903	0.052152959206517	0.0381362242735126	0.0484280588235294	0.10644275	0	r1e-10
mean4	-0.275957913825517	-0.0937537001282318	0.131510561156603	0.182058984625485	0.266268	0.31419756097561	0.33032872	l1e6
sd4	0.102471499230097	0.0776823814817688	0.062026081983217	0.0554544822271244	0.0537780451371702	0.0758042231270952	0.0310216080584525	l1e6
error4	0.606286633825517	0.424082420128232	0.198818158843397	0.148269735374515	0.06777372	0.0588012926829268	0	l1e6
mean5	-0.295439206322536	-0.113295759507008	0.120672553155557	0.172400583886589	0.250364705882353	0.296947058823529	0.320560764705882	l1e8
