f	pi	p0
0.02564	4268.0	5262.0
0.05128	1486.0	2455.0
0.07692	942.0	1704.0
0.10256	602.0	1252.0
0.12821	404.0	1001.0
0.15385	290.0	809.0
0.17949	280.0	738.0
0.20513	199.0	563.0
0.23077	189.0	594.0
0.25641	199.0	488.0
0.28205	174.0	423.0
0.30769	123.0	362.0
0.33333	140.0	410.0
0.35897	103.0	345.0
0.38462	118.0	289.0
0.41026	92.0	309.0
0.4359	82.0	342.0
0.46154	100.0	261.0
0.48718	86.0	286.0
0.51282	100.0	264.0
0.53846	69.0	257.0
0.5641	67.0	219.0
0.58974	55.0	187.0
0.61538	62.0	146.0
0.64103	43.0	173.0
0.66667	38.0	216.0
0.69231	40.0	193.0
0.71795	50.0	189.0
0.74359	33.0	173.0
0.76923	42.0	169.0
0.79487	49.0	147.0
0.82051	37.0	137.0
0.84615	44.0	130.0
0.87179	46.0	147.0
0.89744	33.0	158.0
0.92308	45.0	128.0
0.94872	54.0	155.0
0.97436	59.0	137.0
1.0	42.0	102.0
