f	pi	p0
0.02564	4302.0	5134.0
0.05128	1531.0	2513.0
0.07692	941.0	1696.0
0.10256	610.0	1245.0
0.12821	410.0	936.0
0.15385	339.0	804.0
0.17949	300.0	706.0
0.20513	222.0	585.0
0.23077	169.0	521.0
0.25641	175.0	490.0
0.28205	147.0	389.0
0.30769	118.0	378.0
0.33333	121.0	360.0
0.35897	138.0	357.0
0.38462	92.0	335.0
0.41026	86.0	308.0
0.4359	95.0	338.0
0.46154	97.0	268.0
0.48718	72.0	276.0
0.51282	82.0	251.0
0.53846	79.0	241.0
0.5641	93.0	245.0
0.58974	56.0	215.0
0.61538	66.0	188.0
0.64103	61.0	180.0
0.66667	33.0	199.0
0.69231	51.0	200.0
0.71795	47.0	166.0
0.74359	42.0	201.0
0.76923	28.0	161.0
0.79487	43.0	149.0
0.82051	34.0	121.0
0.84615	27.0	157.0
0.87179	52.0	142.0
0.89744	39.0	152.0
0.92308	42.0	133.0
0.94872	43.0	173.0
0.97436	49.0	135.0
1.0	27.0	114.0
