f	pi	p0
0.02564	4283.0	5130.0
0.05128	1559.0	2450.0
0.07692	1002.0	1586.0
0.10256	632.0	1198.0
0.12821	407.0	957.0
0.15385	340.0	831.0
0.17949	276.0	662.0
0.20513	246.0	595.0
0.23077	203.0	577.0
0.25641	202.0	459.0
0.28205	165.0	424.0
0.30769	120.0	356.0
0.33333	127.0	334.0
0.35897	120.0	350.0
0.38462	101.0	309.0
0.41026	80.0	333.0
0.4359	106.0	320.0
0.46154	99.0	269.0
0.48718	70.0	278.0
0.51282	85.0	232.0
0.53846	79.0	254.0
0.5641	64.0	214.0
0.58974	69.0	213.0
0.61538	54.0	152.0
0.64103	63.0	163.0
0.66667	36.0	176.0
0.69231	41.0	189.0
0.71795	57.0	207.0
0.74359	45.0	176.0
0.76923	29.0	161.0
0.79487	35.0	151.0
0.82051	33.0	131.0
0.84615	37.0	153.0
0.87179	54.0	158.0
0.89744	32.0	157.0
0.92308	43.0	119.0
0.94872	52.0	140.0
0.97436	49.0	158.0
1.0	27.0	98.0
