f	pi	p0
0.02564	8507.0	10103.0
0.05128	2880.0	5012.0
0.07692	1707.0	3112.0
0.10256	1208.0	2403.0
0.12821	801.0	1855.0
0.15385	670.0	1555.0
0.17949	451.0	1203.0
0.20513	349.0	1191.0
0.23077	335.0	935.0
0.25641	354.0	855.0
0.28205	295.0	852.0
0.30769	262.0	686.0
0.33333	251.0	610.0
0.35897	172.0	597.0
0.38462	169.0	528.0
0.41026	168.0	556.0
0.4359	150.0	481.0
0.46154	116.0	427.0
0.48718	159.0	434.0
0.51282	113.0	384.0
0.53846	128.0	431.0
0.5641	80.0	344.0
0.58974	110.0	353.0
0.61538	98.0	342.0
0.64103	108.0	302.0
0.66667	85.0	321.0
0.69231	89.0	327.0
0.71795	84.0	317.0
0.74359	95.0	289.0
0.76923	91.0	291.0
0.79487	81.0	249.0
0.82051	92.0	312.0
0.84615	60.0	260.0
0.87179	66.0	239.0
0.89744	81.0	240.0
0.92308	81.0	224.0
0.94872	97.0	295.0
0.97436	65.0	255.0
1.0	58.0	259.0
