f	pi	p0
0.02564	8540.0	9925.0
0.05128	2955.0	5086.0
0.07692	1733.0	3017.0
0.10256	1192.0	2347.0
0.12821	864.0	1879.0
0.15385	681.0	1592.0
0.17949	451.0	1221.0
0.20513	402.0	1136.0
0.23077	323.0	967.0
0.25641	303.0	866.0
0.28205	269.0	843.0
0.30769	255.0	749.0
0.33333	295.0	697.0
0.35897	180.0	579.0
0.38462	172.0	549.0
0.41026	155.0	508.0
0.4359	148.0	476.0
0.46154	150.0	447.0
0.48718	134.0	444.0
0.51282	131.0	380.0
0.53846	130.0	429.0
0.5641	72.0	356.0
0.58974	126.0	347.0
0.61538	82.0	338.0
0.64103	81.0	323.0
0.66667	76.0	359.0
0.69231	107.0	344.0
0.71795	80.0	290.0
0.74359	85.0	264.0
0.76923	65.0	279.0
0.79487	65.0	237.0
0.82051	75.0	278.0
0.84615	53.0	248.0
0.87179	61.0	251.0
0.89744	74.0	233.0
0.92308	87.0	258.0
0.94872	90.0	249.0
0.97436	50.0	218.0
1.0	58.0	264.0
