f	pi	p0
0.02564	8632.0	10018.0
0.05128	2929.0	5035.0
0.07692	1637.0	3207.0
0.10256	1214.0	2329.0
0.12821	829.0	1888.0
0.15385	710.0	1560.0
0.17949	537.0	1213.0
0.20513	401.0	1208.0
0.23077	364.0	980.0
0.25641	318.0	895.0
0.28205	257.0	814.0
0.30769	260.0	727.0
0.33333	258.0	724.0
0.35897	181.0	589.0
0.38462	167.0	579.0
0.41026	199.0	539.0
0.4359	158.0	525.0
0.46154	132.0	427.0
0.48718	148.0	433.0
0.51282	124.0	407.0
0.53846	126.0	421.0
0.5641	83.0	345.0
0.58974	116.0	362.0
0.61538	77.0	362.0
0.64103	110.0	333.0
0.66667	87.0	354.0
0.69231	91.0	373.0
0.71795	96.0	326.0
0.74359	87.0	275.0
0.76923	74.0	298.0
0.79487	73.0	276.0
0.82051	70.0	260.0
0.84615	55.0	250.0
0.87179	84.0	268.0
0.89744	74.0	214.0
0.92308	85.0	222.0
0.94872	89.0	215.0
0.97436	55.0	202.0
1.0	72.0	257.0
