f	pi	p0
0.02564	8609.0	10206.0
0.05128	2998.0	5130.0
0.07692	1692.0	3241.0
0.10256	1193.0	2358.0
0.12821	826.0	1845.0
0.15385	660.0	1588.0
0.17949	536.0	1216.0
0.20513	421.0	1161.0
0.23077	324.0	1016.0
0.25641	327.0	949.0
0.28205	267.0	796.0
0.30769	267.0	750.0
0.33333	257.0	623.0
0.35897	196.0	552.0
0.38462	186.0	545.0
0.41026	185.0	557.0
0.4359	174.0	443.0
0.46154	105.0	445.0
0.48718	150.0	474.0
0.51282	131.0	439.0
0.53846	137.0	443.0
0.5641	94.0	346.0
0.58974	116.0	357.0
0.61538	97.0	361.0
0.64103	108.0	302.0
0.66667	92.0	317.0
0.69231	88.0	348.0
0.71795	84.0	306.0
0.74359	83.0	250.0
0.76923	85.0	287.0
0.79487	81.0	256.0
0.82051	62.0	247.0
0.84615	68.0	288.0
0.87179	74.0	277.0
0.89744	63.0	227.0
0.92308	69.0	218.0
0.94872	83.0	289.0
0.97436	46.0	231.0
1.0	64.0	234.0
