f	pi	p0
0.02564	5079.0	5257.0
0.05128	1907.0	2403.0
0.07692	1105.0	1627.0
0.10256	684.0	1241.0
0.12821	516.0	988.0
0.15385	421.0	824.0
0.17949	261.0	732.0
0.20513	285.0	545.0
0.23077	203.0	523.0
0.25641	222.0	404.0
0.28205	178.0	402.0
0.30769	179.0	401.0
0.33333	153.0	329.0
0.35897	143.0	347.0
0.38462	130.0	335.0
0.41026	100.0	300.0
0.4359	107.0	275.0
0.46154	67.0	214.0
0.48718	73.0	237.0
0.51282	91.0	253.0
0.53846	74.0	218.0
0.5641	87.0	196.0
0.58974	92.0	179.0
0.61538	83.0	205.0
0.64103	38.0	186.0
0.66667	58.0	167.0
0.69231	43.0	128.0
0.71795	45.0	144.0
0.74359	57.0	122.0
0.76923	39.0	150.0
0.79487	35.0	129.0
0.82051	60.0	151.0
0.84615	40.0	119.0
0.87179	56.0	134.0
0.89744	72.0	128.0
0.92308	42.0	148.0
0.94872	55.0	99.0
0.97436	42.0	155.0
1.0	34.0	116.0
