f	pi	p0
0.02564	4982.0	5236.0
0.05128	1837.0	2538.0
0.07692	1071.0	1719.0
0.10256	663.0	1282.0
0.12821	547.0	982.0
0.15385	420.0	834.0
0.17949	285.0	740.0
0.20513	263.0	595.0
0.23077	188.0	564.0
0.25641	222.0	430.0
0.28205	164.0	425.0
0.30769	197.0	379.0
0.33333	144.0	351.0
0.35897	134.0	351.0
0.38462	110.0	313.0
0.41026	105.0	289.0
0.4359	115.0	260.0
0.46154	79.0	236.0
0.48718	86.0	229.0
0.51282	81.0	238.0
0.53846	66.0	224.0
0.5641	72.0	185.0
0.58974	93.0	190.0
0.61538	61.0	191.0
0.64103	46.0	168.0
0.66667	50.0	175.0
0.69231	49.0	149.0
0.71795	48.0	146.0
0.74359	57.0	142.0
0.76923	55.0	152.0
0.79487	46.0	127.0
0.82051	59.0	140.0
0.84615	39.0	120.0
0.87179	47.0	116.0
0.89744	91.0	112.0
0.92308	38.0	130.0
0.94872	50.0	106.0
0.97436	46.0	148.0
1.0	40.0	133.0
