f	pi	p0
0.02564	5127.0	5212.0
0.05128	1826.0	2450.0
0.07692	1032.0	1701.0
0.10256	713.0	1208.0
0.12821	504.0	950.0
0.15385	462.0	849.0
0.17949	275.0	754.0
0.20513	248.0	616.0
0.23077	214.0	517.0
0.25641	238.0	436.0
0.28205	144.0	400.0
0.30769	180.0	393.0
0.33333	160.0	313.0
0.35897	149.0	376.0
0.38462	123.0	300.0
0.41026	121.0	264.0
0.4359	89.0	286.0
0.46154	82.0	255.0
0.48718	88.0	254.0
0.51282	73.0	241.0
0.53846	79.0	229.0
0.5641	74.0	214.0
0.58974	80.0	201.0
0.61538	68.0	176.0
0.64103	61.0	186.0
0.66667	51.0	179.0
0.69231	56.0	151.0
0.71795	50.0	151.0
0.74359	53.0	132.0
0.76923	41.0	137.0
0.79487	69.0	122.0
0.82051	53.0	144.0
0.84615	45.0	114.0
0.87179	56.0	107.0
0.89744	68.0	133.0
0.92308	42.0	146.0
0.94872	54.0	112.0
0.97436	31.0	131.0
1.0	40.0	119.0
