f	pi	p0
0.02564	637.0	711.0
0.05128	229.0	406.0
0.07692	131.0	222.0
0.10256	84.0	163.0
0.12821	66.0	170.0
0.15385	33.0	148.0
0.17949	49.0	138.0
0.20513	30.0	76.0
0.23077	26.0	53.0
0.25641	21.0	69.0
0.28205	25.0	95.0
0.30769	15.0	59.0
0.33333	14.0	58.0
0.35897	17.0	56.0
0.38462	16.0	76.0
0.41026	11.0	34.0
0.4359	18.0	60.0
0.46154	17.0	47.0
0.48718	15.0	24.0
0.51282	8.0	26.0
0.53846	14.0	27.0
0.5641	7.0	34.0
0.58974	13.0	36.0
0.61538	6.0	33.0
0.64103	5.0	31.0
0.66667	12.0	15.0
0.69231	7.0	40.0
0.71795	7.0	14.0
0.74359	6.0	24.0
0.76923	8.0	25.0
0.79487	11.0	21.0
0.82051	10.0	41.0
0.84615	4.0	40.0
0.87179	4.0	47.0
0.89744	7.0	26.0
0.92308	2.0	32.0
0.94872	9.0	26.0
0.97436	2.0	18.0
1.0	11.0	26.0
