f	pi	p0
0.02564	676.0	774.0
0.05128	229.0	399.0
0.07692	119.0	211.0
0.10256	81.0	153.0
0.12821	58.0	157.0
0.15385	37.0	134.0
0.17949	47.0	129.0
0.20513	22.0	77.0
0.23077	19.0	67.0
0.25641	25.0	85.0
0.28205	29.0	94.0
0.30769	19.0	41.0
0.33333	21.0	59.0
0.35897	12.0	64.0
0.38462	26.0	58.0
0.41026	9.0	30.0
0.4359	11.0	47.0
0.46154	21.0	41.0
0.48718	18.0	28.0
0.51282	7.0	31.0
0.53846	17.0	42.0
0.5641	3.0	30.0
0.58974	8.0	53.0
0.61538	6.0	32.0
0.64103	9.0	38.0
0.66667	12.0	34.0
0.69231	5.0	52.0
0.71795	8.0	18.0
0.74359	9.0	22.0
0.76923	2.0	24.0
0.79487	4.0	12.0
0.82051	7.0	34.0
0.84615	6.0	18.0
0.87179	5.0	30.0
0.89744	7.0	17.0
0.92308	7.0	16.0
0.94872	6.0	16.0
0.97436	6.0	10.0
1.0	6.0	25.0
