f	pi	p0
0.02564	602.0	710.0
0.05128	221.0	387.0
0.07692	127.0	239.0
0.10256	83.0	161.0
0.12821	63.0	141.0
0.15385	38.0	126.0
0.17949	51.0	139.0
0.20513	31.0	84.0
0.23077	32.0	61.0
0.25641	23.0	98.0
0.28205	24.0	77.0
0.30769	17.0	52.0
0.33333	26.0	79.0
0.35897	17.0	65.0
0.38462	22.0	64.0
0.41026	9.0	39.0
0.4359	16.0	44.0
0.46154	19.0	33.0
0.48718	19.0	29.0
0.51282	5.0	28.0
0.53846	23.0	33.0
0.5641	4.0	47.0
0.58974	7.0	33.0
0.61538	6.0	31.0
0.64103	9.0	18.0
0.66667	6.0	21.0
0.69231	5.0	41.0
0.71795	12.0	23.0
0.74359	5.0	22.0
0.76923	4.0	25.0
0.79487	7.0	25.0
0.82051	11.0	27.0
0.84615	6.0	25.0
0.87179	4.0	22.0
0.89744	6.0	21.0
0.92308	7.0	28.0
0.94872	5.0	14.0
0.97436	10.0	26.0
1.0	8.0	21.0
