f	pi	p0
0.02564	656.0	748.0
0.05128	229.0	416.0
0.07692	135.0	232.0
0.10256	86.0	151.0
0.12821	64.0	178.0
0.15385	34.0	133.0
0.17949	37.0	121.0
0.20513	19.0	76.0
0.23077	29.0	67.0
0.25641	30.0	83.0
0.28205	28.0	76.0
0.30769	30.0	56.0
0.33333	25.0	67.0
0.35897	10.0	46.0
0.38462	17.0	68.0
0.41026	6.0	44.0
0.4359	22.0	62.0
0.46154	15.0	42.0
0.48718	20.0	23.0
0.51282	11.0	43.0
0.53846	13.0	29.0
0.5641	3.0	48.0
0.58974	9.0	48.0
0.61538	6.0	37.0
0.64103	8.0	24.0
0.66667	8.0	19.0
0.69231	7.0	39.0
0.71795	15.0	22.0
0.74359	9.0	32.0
0.76923	5.0	38.0
0.79487	7.0	31.0
0.82051	5.0	37.0
0.84615	5.0	24.0
0.87179	3.0	22.0
0.89744	4.0	30.0
0.92308	8.0	17.0
0.94872	8.0	21.0
0.97436	6.0	18.0
1.0	7.0	20.0
