f	pi	p0
0.02564	647.0	745.0
0.05128	236.0	396.0
0.07692	132.0	232.0
0.10256	83.0	160.0
0.12821	65.0	160.0
0.15385	38.0	123.0
0.17949	44.0	120.0
0.20513	22.0	85.0
0.23077	26.0	70.0
0.25641	27.0	84.0
0.28205	27.0	82.0
0.30769	22.0	52.0
0.33333	18.0	66.0
0.35897	14.0	56.0
0.38462	22.0	61.0
0.41026	9.0	36.0
0.4359	17.0	49.0
0.46154	20.0	52.0
0.48718	16.0	27.0
0.51282	10.0	34.0
0.53846	17.0	35.0
0.5641	4.0	45.0
0.58974	10.0	39.0
0.61538	5.0	32.0
0.64103	7.0	28.0
0.66667	8.0	27.0
0.69231	6.0	42.0
0.71795	12.0	21.0
0.74359	6.0	25.0
0.76923	6.0	26.0
0.79487	6.0	25.0
0.82051	7.0	28.0
0.84615	5.0	23.0
0.87179	5.0	26.0
0.89744	4.0	25.0
0.92308	9.0	24.0
0.94872	6.0	18.0
0.97436	6.0	19.0
1.0	8.0	21.0
